"Product Id","Product Type","Product Nme",Sku,Količina,Cena
515,simple,"Celoviti ekstrakt - Mangrove Jack's (Cider) - Rosé Cider",mp-ce-mjcirc,0,"15,99 €"
518,simple,"Pivski dodatki - Mangrove Jack's Beer Enhancer 1",mp-sl-mjbe1,0,"9,49 €"
519,simple,"Pivski dodatki - Mangrove Jack's Beer Enhancer 2",mp-sl-mjbe2,0,"8,12 €"
521,simple,"Zapirač za steklenice Super 2000",mp-st-erzs2000,0,"21,99 €"
522,simple,"Celoviti ekstrakt - Mangrove Jack's (Craft Series) - Irish Stout",mp-ce-mjcsis,0,"21,99 €"
523,simple,"Protioksidacijski kronski zamaški 100 kom, srebrni",mp-st-kz100aos,0,"1,99 €"
531,simple,"Pivovarske kvasovke Lallemand LalBrew® Verdant IPA - 11 g",mp-by-lvipa,0,"4,82 €"
532,simple,"Brew Monk™ nerjavni konični vrelnik 55 l",mp-sy-bmssf55,0,"389,14 €"
536,simple,"Komplet za izdelavo kokosovega jogurta",mp-si-mmcyk,0,"19,85 €"
540,simple,"Mlinček za drobljenje zrnja - Mattmill Master z zbiralno posodo",mp-mm-mmab,0,"245,32 €"
542,simple,"Alcotec MegaPack 100L Turbo kvas",mp-at-mp100ty,0,"8,84 €"
543,simple,"Alcotec sadni turbo kvas / Fruit Turbo yeast",mp-at-fty,0,"3,84 €"
544,simple,"Alcotec Rum Turbo Yeast/kvas",mp-at-rty,0,"1,99 €"
545,simple,"Alcotec Whisky Turbo Yeast/kvas",mp-at-wty,0,"1,99 €"
546,simple,"Alcotec Single Strain Whisky/Whiskey Turbo Yeast/kvas",mp-at-sswty,0,"1,99 €"
547,simple,"Alcotec 48 Turbo Yeast/kvas",mp-at-48ty,0,"4,34 €"
549,simple,"Alcotec Classic T3 Turbo Yeast/kvas",mp-at-ct3ty,0,"1,99 €"
551,simple,"Alcotec α-Amylase Enzyme (encimi alfa amilaze)",mp-at-aae,0,"2,73 €"
552,simple,"Z Carbon Universal 205g",mp-at-pk,0,"2,99 €"
553,simple,"BB Spirits Alkohol meter",mp-at-bbalko,0,"5,99 €"
554,simple,"Celoviti ekstrakt - Mangrove Jack's (Craft Series) - Single Hopped Nelson Sauvin IPA",mp-ce-mjcsnsshipa,0,"23,99 €"
555,simple,"Celoviti ekstrakt - Mangrove Jack's (Craft Series) - Brut IPA",mp-ce-mjcsbipa,0,"22,59 €"
